code,symbol,maturity_date,start_date
AL,AL1208,2012-08-15,2011-08-16
AL,AL1305,2013-05-15,2012-05-16
ZN,ZN0707,2007-07-16,2007-03-26
AL,AL1209,2012-09-17,2011-09-16
AL,AL1304,2013-04-15,2012-04-17
ZN,ZN1010,2010-10-15,2009-10-16
ZN,ZN1104,2011-04-15,2010-04-16
AL,AL1301,2013-01-15,2012-01-16
AL,AL1211,2012-11-15,2011-11-16
ZN,ZN0807,2008-07-15,2007-07-20
ZN,ZN0805,2008-05-15,2007-06-11
AL,AL1210,2012-10-15,2011-10-18
ZN,ZN0806,2008-06-16,2007-07-06
AL,AL1308,2013-08-15,2012-08-16
AL,AL1306,2013-06-17,2012-06-18
ZN,ZN0901,2009-01-15,2008-01-16
ZN,ZN1105,2011-05-16,2010-05-18
ZN,ZN0911,2009-11-16,2008-11-18
AL,AL1303,2013-03-15,2012-03-16
ZN,ZN0908,2009-08-17,2008-08-20
ZN,ZN0804,2008-04-15,2007-05-15
AL,AL1307,2013-07-15,2012-07-17
ZN,ZN1101,2011-01-17,2010-01-18
AL,AL1212,2012-12-17,2011-12-16
ZN,ZN0902,2009-02-16,2008-02-20
ZN,ZN0809,2008-09-16,2007-09-18
ZN,ZN0803,2008-03-17,2007-03-26
ZN,ZN1204,2012-04-16,2011-04-18
ZN,ZN1003,2010-03-15,2009-03-17
ZN,ZN0708,2007-08-15,2007-03-26
ZN,ZN0904,2009-04-15,2008-04-22
AL,AL1310,2013-10-15,2012-10-16
ZN,ZN1001,2010-01-15,2009-01-16
ZN,ZN0709,2007-09-17,2007-03-26
ZN,ZN0912,2009-12-15,2008-12-17
ZN,ZN1310,2013-10-15,2012-10-16
ZN,ZN1011,2010-11-15,2009-11-17
ZN,ZN1006,2010-06-17,2009-06-16
ZN,ZN1007,2010-07-15,2009-07-17
ZN,ZN0811,2008-11-17,2007-11-16
ZN,ZN0903,2009-03-16,2008-03-18
ZN,ZN0711,2007-11-15,2007-04-04
ZN,ZN1201,2012-01-13,2011-01-18
ZN,ZN0810,2008-10-15,2007-10-17
ZN,ZN0906,2009-06-15,2008-06-18
ZN,ZN1304,2013-04-15,2012-04-17
AL,AL1302,2013-02-18,2012-02-16
PB,PB1310,2013-10-15,2012-10-16
PB,PB1201,2012-01-13,2011-03-24
ZN,ZN0710,2007-10-15,2007-03-26
ZN,ZN1211,2012-11-15,2011-11-16
ZN,ZN1302,2013-02-18,2012-02-16
ZN,ZN0907,2009-07-15,2008-07-18
ZN,ZN0909,2009-09-15,2008-10-06
PB,PB1206,2012-06-15,2011-06-16
PB,PB1207,2012-07-16,2011-07-18
ZN,ZN0712,2007-12-17,2007-04-13
ZN,ZN1109,2011-09-15,2010-09-16
AU,AU0809,2008-08-29,2008-01-09
ZN,ZN1005,2010-05-17,2009-05-18
PB,PB1309,2013-09-16,2012-09-18
ZN,ZN1205,2012-05-15,2011-05-17
ZN,ZN0801,2008-01-15,2007-04-09
ZN,ZN1009,2010-09-15,2009-09-16
ZN,ZN1206,2012-06-15,2011-06-16
ZN,ZN1004,2010-04-15,2009-04-16
AL,AL1309,2013-09-16,2012-09-18
AU,AU0811,2008-11-17,2008-01-09
ZN,ZN1106,2011-06-15,2010-06-21
AU,AU0807,2008-07-15,2008-01-09
AU,AU0810,2008-10-15,2008-01-09
PB,PB1210,2012-10-15,2011-10-18
ZN,ZN1103,2011-03-15,2010-03-17
ZN,ZN0802,2008-02-15,2007-05-08
ZN,ZN0812,2008-12-15,2007-12-24
