date,code,symbol,close,settlement,open_interest,next_symbol,dom_subdom,pre_close,pre_settlement,factor_close,factor_settlement
2019-12-28,IH,IH2002,,,,,DOM,3030.2,3037.4,,
2019-12-27,IH,IH2002,3030.2,3037.4,965.0,,DOM,3019.4,3019.2,,
2019-12-26,IH,IH2002,3019.4,3019.2,678.0,IH2002,DOM,2997.6,2990.2,,
2019-12-20,IH,IH2006,3026.2,3029.8,5656.0,,DOM,3031.0,3030.8,,
2019-12-19,IH,IH2006,3031.0,3030.8,5296.0,IH2006,DOM,3031.2,3033.6,,
2019-12-14,IH,IH2006,,,,,DOM,2996.4,2990.0,,
2019-12-13,IH,IH2006,2996.4,2990.0,4047.0,,DOM,2931.6,2933.0,,
2019-12-07,IH,IH2001,,,,,DOM,2936.4,2930.6,,
2019-12-06,IH,IH2001,2936.4,2930.6,2737.0,,DOM,2918.2,2918.8,,
2019-12-05,IH,IH2001,2918.2,2918.8,2454.0,IH2001,DOM,2899.8,2897.4,,
2019-11-30,IH,IH2001,,,,,DOM,2889.4,2888.2,,
2019-11-29,IH,IH2001,2889.4,2888.2,1763.0,,DOM,2930.2,2925.2,,
2019-11-28,IH,IH2001,2930.2,2925.2,1379.0,IH2001,DOM,2940.2,2938.4,,
2019-11-23,IH,IH2001,,,,,DOM,2915.8,2919.0,,
2019-11-22,IH,IH2001,2915.8,2919.0,847.0,,DOM,2946.4,2946.4,,
2019-11-21,IH,IH2001,2946.4,2946.4,666.0,IH2001,DOM,2966.8,2965.6,,
2019-11-15,IH,IH2006,2947.2,2950.0,1660.0,,DOM,2952.8,2955.6,,
2019-11-14,IH,IH2006,2952.8,2955.6,1452.0,IH2006,DOM,2957.0,2953.4,,
2019-11-09,IH,IH2006,,,,,DOM,3004.4,3008.4,,
2019-11-08,IH,IH2006,3004.4,3008.4,1074.0,,DOM,3026.2,3024.0,,
2019-11-07,IH,IH2006,3026.2,3024.0,998.0,IH2006,DOM,3023.6,3024.6,,
2019-11-02,IH,IH2006,,,,,DOM,2993.2,2991.6,,
2019-11-01,IH,IH2006,2993.2,2991.6,667.0,,DOM,2949.4,2946.2,,
2019-10-31,IH,IH2006,2949.4,2946.2,655.0,IH2006,DOM,2945.6,2945.2,,
2019-10-26,IH,IH2006,,,,,DOM,2960.0,2959.0,,
2019-10-25,IH,IH2006,2960.0,2959.0,446.0,,DOM,2953.0,2948.8,,
2019-10-24,IH,IH2006,2953.0,2948.8,416.0,IH2006,DOM,2938.8,2940.0,,
2019-10-12,IH,IH1911,,,,,DOM,2976.6,2976.0,,
2019-10-11,IH,IH1911,2976.6,2976.0,3286.0,,DOM,2926.8,2927.4,,
2019-09-28,IH,IH1911,,,,,DOM,2935.0,2932.0,,
2019-09-27,IH,IH1911,2935.0,2932.0,269.0,,DOM,2926.6,2930.8,,
2019-09-26,IH,IH1911,2926.6,2930.8,219.0,IH1911,DOM,2928.8,2934.6,,
2019-09-20,IH,IH2003,2958.2,2958.2,7135.0,,DOM,2953.4,2946.8,,
2019-09-19,IH,IH2003,2953.4,2946.8,6858.0,IH2003,DOM,2946.0,2944.8,,
2019-09-13,IH,IH1910,,,,,DOM,2999.4,2996.6,,
